Document,Path,Term,Definition
החזר מיסים 6.4,6.4/,ועדת חריגים,"ועדת סבסוד (ראה הוראה 6.7 בתע""ס) תשמש גם בתפקיד ועדת 	חריגים עבור נושא החזרי המס, הכל מפורט להלן. 			הוועדה ממונה על ידי מנכ""ל המשרד ומורכבת מנציג הנהלת השירות 		לעיוור המשמש כיו""ר הוועדה, תקציבן אגף השיקום ונציג חשבות 		המשרד."
החזר מיסים 6.4,6.4/,וועדה מקצועית עליונה,"וועדה הדנה בהשגה המוגשת על החלטת מטה 		השירות לעיוור הרלוונטי בשירות לעיוור ראה הוראה 6.21 בתע""ס. אוכלוסיית היעד"
גרסה מ 31.7.16,6.4/,זכיין,"גוף שזכה במכרז משרד הרווחה והשירותים החברתיים לניהול 		ביצוע החזרי המס עבור קניית מכשירי עזר ע""י אוכלוסיית היעד."
גרסה מ 31.7.16,6.4/,ועדת חריגים,"ועדת סבסוד (ראה הוראה 6.7 בתע""ס) תשמש גם בתפקיד ועדת 	חריגים עבור נושא החזרי המס, הכל מפורט להלן. 			הוועדה ממונה על ידי מנכ""ל המשרד ומורכבת מנציג הנהלת השירות 		לעיוור המשמש כיו""ר הוועדה, תקציבן אגף השיקום ונציג חשבות 		המשרד."
גרסה מ 31.7.16,6.4/,וועדה מקצועית עליונה,"וועדה הדנה בהשגה המוגשת על החלטת מטה 		השירות לעיוור הרלוונטי בשירות לעיוור ראה הוראה 6.21 בתע""ס. אוכלוסיית היעד"
8.12.16,6.4/,זכיין,"גוף שזכה במכרז משרד העבודה הרווחה והשירותים החברתיים לניהול ביצוע החזרי המס עבור קניית מכשירי עזר ע""י אוכלוסיית היעד."
8.12.16,6.4/,ועדת חריגים,"ועדת סבסוד (ראה הוראה 6.7 בתע""ס) תשמש גם בתפקיד ועדת 	חריגים עבור נושא החזרי המס, הכל מפורט להלן. 			הוועדה ממונה על ידי מנכ""ל המשרד ומורכבת מנציג הנהלת השירות 		לעיוור המשמש כיו""ר הוועדה, תקציבאי אגף השיקום ונציג חשבות 		המשרד."
8.12.16,6.4/,וועדה מקצועית עליונה,"וועדה הדנה בהשגה המוגשת על החלטת מטה 		השירות לעיוור הרלוונטי בשירות לעיוור ראה הוראה 6.21 בתע""ס. אוכלוסיית היעד"
1.1.17,6.4/,זכיין,"גוף שזכה במכרז משרד העבודה הרווחה והשירותים החברתיים לניהול ביצוע החזרי המס עבור קניית מכשירי עזר ע""י אוכלוסיית היעד."
1.1.17,6.4/,ועדת חריגים,"ועדת סבסוד (ראה הוראה 6.7 בתע""ס) תשמש גם בתפקיד ועדת 	חריגים עבור נושא החזרי המס, הכל מפורט להלן. 			הוועדה ממונה על ידי מנכ""ל המשרד ומורכבת מנציג הנהלת השירות 		לעיוור המשמש כיו""ר הוועדה, תקציבאי אגף השיקום ונציג חשבות 		המשרד."
1.1.17,6.4/,וועדה מקצועית עליונה,"וועדה הדנה בהשגה המוגשת על החלטת מטה 		השירות לעיוור הרלוונטי בשירות לעיוור ראה הוראה 6.21 בתע""ס. אוכלוסיית היעד"
תעודת עיוור-6.3,6.3/,"""רופא עיניים""","רופא מומחה למחלות עיניים בהתאם לפקודת הרופאים 1974, תקנות המתעסקים ברפואה (אישור ותואר מומחה) תשכ""ד 1964."
תעודת עיוור-6.3,6.3/,"""רופא אימון ""","רופא עיניים כמוגדר בסעיף 2.1 ובעל מרפאת עיניים מצויידת ונגישה לעיוורים שעמד בדרישות מכרז משרד הרווחה ומונה ע""י השירות לעיוור."
תעודת עיוור-6.3,6.3/,"""רופא ערר""","רופא כמוגדר בסעיף 2.2 ובעל תואר פרופסורהשעמד בדרישות מכרז משרד הרווחה ומונה ע""י השירות לעיוור."
תעודת עיוור-6.3,6.3/,"""ועדת עררים רפאית עליונה""",ועדה לדיון והחלטה במקרים בהם הלקוח מגיש השגה בכתב על ההחלטה הרפואית.
השמת זקנים במעונות 4.8,4.8/,"""אזרח הותיק""","מי שהגיע לגיל פרישה עפ""י חוק גיל הפרישה התשס""ד – 2004."
השמת זקנים במעונות 4.8,4.8/,"""אזרח הותיק בודד""",אזרח הותיק שאינו נשוי או שחי בנפרד מבן זוגו ואין בני משפחה התלויים בו;
השמת זקנים במעונות 4.8,4.8/,"""אזרח ותיק תשוש""",אזרח הותיק אשר מפאת תפקודו הירוד זקוק לעזרה חלקית בפעולות היום-יום;
השמת זקנים במעונות 4.8,4.8/,"""אזרח ותיק עם התנהגויות חריגות""","אזרח הותיק בעל 		""הפרעה התנהגותית או הפרעה נפשית ואינו מוגדר כנכה נפש."
השמת זקנים במעונות 4.8,4.8/,"""אזרח ותיק נכה נפש"" – אדם המוכר על",ידי המוסד לביטוח לאומי עם נכות רפואית בגין סעיף נפשי מעל 40% או עם רקע של אשפוזים בבית חולים פסיכיאטרי.
השמת זקנים במעונות 4.8,4.8/,"""אזרח ותיק תשוש נפש""","אדם הסובל מירידה בתחומים 	כגון: זיכרון, שיפוט, התמצאות (באחריות משרד הבריאות);"
השמת זקנים במעונות 4.8,4.8/,"""אזרח ותיק סיעודי""","אדם שמצב בריאותו ותפקודו ירודים כתוצאה ממחלה כרונית או מליקוי קבוע, או הסובל מבעיות רפואיות מורכבות ובלתי יציבות, הדורשות מעקב רפואי מיומן במסגרת בעלת אופי רפואי, במשך 24 שעות ביממה לתקופה ממושכת, ושנתקיים בו אחד או יותר מאלה: הוא מרותק למיטה או לכיסא גלגלים; אין לו שליטה על הסוגרים או על אחד מהם;"
השמת זקנים במעונות 4.8,4.8/,הוא זקוק לעזרה מלאה או חלקית בפעולות היום,יום; הוא מתהלך בקושי רב עקב מחלה;
השמת זקנים במעונות 4.8,4.8/,"""מעון""","כהגדרתו ב""חוק הפיקוח על המעונות"", תשכ""ה - 1965 (ראה הוראה 1.35 בתע""ס);"
השמת זקנים במעונות 4.8,4.8/,"""בני משפחה תלויים""","בן זוג או בת זוג, ילדים עד גיל 18, 	ילדים בשירות החובה בצבא ובשירות הלאומי;"
השמת זקנים במעונות 4.8,4.8/,"""נקודת זיכוי""","כפי שמפרסם משרד האוצר ומפורט בחוברת 	התעריפים החודשית, להלן ""נ""ז"";"
השמת זקנים במעונות 4.8,4.8/,"""נכס""","כהגדרתו ב""חוק המקרקעין"" התשכ""ט - 1969; לרבות בניין, דירה, מגרש וקרקע חקלאית;"
השמת זקנים במעונות 4.8,4.8/,"""בעלות בנכס"""," בעלות בנכס או בחלק ממנו, הרשומה בלשכת רישום המקרקעין או בעלות בכל דרך אחרת בעלות באמצעות חברה (כגון משכנת); הזכות להחזיק בנכס כולו או בחלק ממנו, להשתמש בו בין מכוח רישום בלשכה לרישום מקרקעין ובין מכוח של הסכם שטר מתן מתנה, פסק דין וכולי."
השמת זקנים במעונות 4.8,4.8/,אפוטרופוס,"אדם או תאגיד שמונה ע""י בית המשפט לטפל בעניינו של האזרח הותיק כולם או חלקם עפ""י חוק הכשרות המשפטית והאפוטרופסות – התשכ""ב 1962."
השמת זקנים במעונות 4.8,4.8/,הכנסה נחשבת,"הכנסה מכל מקור שהוא בהתאם להוראה 1.22 ו- 1.23 בתע""ס."
בתי אבות,4.8/,"""זקן""","מי שהגיע לגיל פרישה עפ""י חוק גיל הפרישה התשס""ד – 2004."
בתי אבות,4.8/,"""זקן בודד""",זקן שאינו נשוי או שחי בנפרד מבן זוגו ואין בני משפחה התלויים בו;
בתי אבות,4.8/,"""מעון""","כהגדרתו ב""חוק הפיקוח על המעונות"", תשכ""ה - 1965 (ראה הוראה 1.35 בתע""ס);"
בתי אבות,4.8/,"""זקן תשוש""",זקן אשר מפאת תפקודו הירוד זקוק לעזרה חלקית בפעולות היום-יום;
בתי אבות,4.8/,"""זקן עם התנהגויות חריגות""",זקן בעל הפרעה התנהגותית או הפרעה נפשית ואינו זקוק לאשפוז פסיכיאטרי.
בתי אבות,4.8/,"""זקן תשוש נפש""","זקן הסובל מירידה בתחומים כגון: זיכרון, שיפוט, התמצאות (באחריות משרד הבריאות);"
בתי אבות,4.8/,"""זקן סיעודי""","זקן שמצב בריאותו ותפקודו ירודים כתוצאה ממחלה כרונית או מליקוי קבוע, או הסובל מבעיות רפואיות מורכבות ובלתי יציבות, הדורשות מעקב רפואי מיומן במסגרת בעלת אופי רפואי, במשך 24 שעות ביממה לתקופה ממושכת, ושנתקיים בו אחד או יותר מאלה: הוא מרותק למיטה או לכיסא גלגלים; אין לו שליטה על הסוגרים או על אחד מהם;"
בתי אבות,4.8/,הוא זקוק לעזרה מלאה או חלקית בפעולות היום,יום; הוא מתהלך בקושי רב עקב מחלה;
בתי אבות,4.8/,"""בני משפחה תלויים""","בן זוג או בת זוג, ילדים עד גיל 18, ילדים בשירות החובה בצבא ובשירות הלאומי; ילדים מעל גיל 18 בעלי מוגבלויות."
בתי אבות,4.8/,"""נקודת זיכוי""","כפי שמפרסם משרד האוצר ומפורט בחוברת התעריפים החודשית, להלן ""נ""ז"";"
בתי אבות,4.8/,"""נכס""","כהגדרתו ב""חוק המקרקעין"" התשכ""ט - 1969; לרבות בניין, דירה, מגרש וקרקע חקלאית;"
